Timestamp,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
550895,20,-179,956,1,0,0
550941,23,-178,952,1,0,0
550949,25,-178,954,0,0,0
550961,29,-176,958,0,0,0
551006,26,-178,965,1,0,0
551014,27,-178,964,1,0,0
551029,25,-179,955,2,0,0
551059,23,-177,960,1,0,0
551065,24,-177,960,1,0,0
551078,26,-181,958,3,0,0
551123,20,-185,952,3,0,0
551131,20,-186,956,2,0,0
551145,18,-187,953,2,0,0
551179,16,-187,955,1,0,0
551184,16,-187,955,1,0,0
551197,17,-187,953,1,0,0
551241,21,-184,957,0,0,0
551249,19,-184,958,0,0,0
551306,23,-183,955,0,0,0
551309,23,-183,955,0,0,0
551321,24,-182,954,0,0,0
551358,27,-181,956,1,0,0
551361,27,-181,956,1,0,0
551376,29,-179,955,0,0,0
551417,29,-179,957,1,0,0
551426,28,-180,958,1,0,0
551437,29,-180,959,0,0,0
551478,28,-178,959,1,0,0
551484,28,-180,958,2,0,0
551495,25,-183,957,2,-1,0
551537,15,-187,961,2,0,0
551543,13,-188,958,2,0,0
551554,12,-188,956,3,0,0
551605,18,-182,953,0,0,0
551610,20,-184,958,0,0,0
551621,21,-182,957,0,0,0
551661,23,-186,958,1,0,0
551664,23,-186,958,1,0,0
551679,26,-182,957,0,0,0
551719,27,-182,957,1,0,0
551722,27,-182,957,1,0,0
551730,27,-183,957,1,0,0
551785,22,-186,957,0,0,0
551791,21,-186,958,0,0,0
551800,21,-187,957,1,0,0
551838,19,-188,956,0,0,0
551842,19,-188,956,0,0,0
551858,19,-186,959,0,0,0
551903,21,-186,953,0,0,0
551907,22,-183,956,0,0,0
551923,22,-183,958,0,0,0
551962,21,-183,958,1,0,0
551967,21,-184,956,1,0,0
551980,22,-184,955,1,0,0
552019,24,-182,958,0,0,0
552024,23,-182,959,0,0,0
552034,23,-183,959,0,0,0
552080,23,-185,957,0,0,0
552085,23,-184,958,0,0,0
552094,23,-183,957,0,0,0
552139,23,-184,958,1,0,0
552146,23,-185,960,0,0,0
552160,23,-185,958,1,0,0
552198,24,-185,956,1,0,0
552205,25,-183,957,0,0,0
552213,24,-184,958,0,0,0
552262,26,-188,957,1,0,0
552267,26,-188,957,1,0,0
552281,26,-188,958,1,0,0
552325,24,-187,961,1,0,0
552330,23,-188,960,1,0,0
552341,23,-188,958,2,0,0
552380,18,-187,954,1,0,0
552384,18,-187,954,1,0,0
552396,18,-187,954,1,0,0
552439,21,-187,953,1,0,0
552447,19,-187,953,1,0,0
552456,19,-185,953,0,0,0
552499,24,-188,955,0,0,0
552502,24,-188,955,0,0,0
552512,24,-187,955,0,0,0
552563,31,-186,961,1,0,0
552567,29,-187,961,1,0,0
552580,30,-188,958,1,0,0
552623,28,-187,959,1,0,0
552626,28,-187,959,1,0,0
552642,25,-186,956,2,0,0
552684,21,-190,956,2,0,0
552692,20,-189,956,2,0,0
552702,24,-191,957,2,0,0
